exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
11	priyome	public-education	3r2k1/1b3ppp/pqnbpn2/1p6/1P6/PQN1PN1P/1B2BPP1/2R2K2 b - - 0 1	black	Ne5 Ne4	c6e5 c3e4	18...Ne5! Opening the diagonal for the bishop on b7, and also in some way preparing ...Be5 which neutralizes White’s bishop on b2. In many similar positions with the c- and d-pawns exchanged, both players try to be first with ...Ne5 or Ne4, to exploit their respective diagonals. 19.Nxe5 Instead Lasker accepted doubled pawns on f3, a long-term concession. 19...Bxe5 20.Qc2 Black has slightly more active pieces, but it’s not enough to claim a real advantage.	Lasker	Maroczy	London	1899	Lasker – Maroczy, London 1899	37	37
12	priyome	public-education	2r1r1k1/p2n1pp1/1pqpp2p/3n4/3P4/2PQ1NB1/PP3PPP/3RR1K1 b - - 0 1	black	b5	b6b5	18...b5³ A standard minority attack, to eventually create a weak white pawn on the queenside – and in the meantime, solidifying the c4-outpost for a knight. 18...f5 is also a good move, gaining space and controlling the light squares. The game continuation is more straightforward though.	Blackburne	Lasker	London	1899	Blackburne – Lasker, London 1899	37	37
13	priyome	public-education	2rq1rk1/1p1bppbp/p2p1np1/4nPP1/3NP3/2N1B2P/PPP1B3/R2Q1RK1 b - - 0 1	black	Rxc3 bxc3 Nxe4	c8c3 b2c3 f6e4	13...Rxc3! For the exchange, Black destroys White’s structure and picks up a valuable central pawn. 14.bxc3 14.gxf6 Rxe3 15.fxg7 Kxg7–+ 14...Nxe4–+ Lasker went on to lose this simul game.	Lasker	Mackay	Great Britain (Simul)	1908	Lasker – Mackay, Great Britain (Simul) 1908	38	38
14	priyome	public-education	r4rk1/p1p3pp/2p1b3/2qpPp2/5P2/1PNQ3P/P1P3PK/4RR2 w - - 0 1	white	Na4	c3a4	14. Emanuel Lasker – Erich Cohn, St. Petersburg 1909 20.Na4!+– Taking control over the dark squares, where Black is helpless due to the immobile doubled c-pawns. Other moves are also good (winning), but that’s no reason not to choose the most logical and convincing path. Emanuel Lasker “To refer to the oft-mooted question, ‘Which piece is stronger, the bishop or the knight?’ it is clear that the value of the bishop undergoes greater changes than that of the knight.”	Lasker	Cohn	St. Petersburg	1909	Lasker – Cohn, St. Petersburg 1909	38	38
15	priyome	public-education	r1bq1rk1/ppp2pp1/1bnp1n1p/3Np3/1PB1P3/2PP1N2/P4PPP/R1BQ1RK1 w - - 0 1	white	a4	a2a4	10.a4!² Black is forced to move the a-pawn and recapture with ...cxb6, weakening his structure and giving up the d5-square.	Alekhine	Cohn	Karlovy Vary	1911	Alekhine – Cohn, Karlovy Vary 1911	39	39
16	priyome	public-education	r2q1rk1/2p1nppp/p1pb4/4p2b/4P3/4BN1P/PPPNQPP1/R3K2R w KQ - 0 1	white	g4 Bg6 h4 f6 h5 h6 g5	g2g4 h5g6 h3h4 f7f6 h4h5 h7h6 g4g5	12.g4! With a closed centre, White can afford to advance on the wing. 12...Bg6 13.h4 f6 13...h5 14.Ng5! hxg4 15.h5 Bh7 16.h6 g6 and it’s temping to use another diagram to embarrass the bishop on h7. 14.h5 Bf7 White failed to find the best continuation: 15.g5! Before Black has a chance to stop it with ...h7-h6. The attack is winning.	Znosko-Borovsky	Alekhine	St. Petersburg	1913	Znosko-Borovsky – Alekhine, St. Petersburg 1913	40	40
17	priyome	public-education	r4rk1/ppp1qpp1/2n4p/3np3/8/1PPPBN2/1P1Q1PPP/R4RK1 b - - 0 1	black	a5 b4	a7a5 b3b4	14...a5!³ Stopping b3-b4. The game went: 14...f5 15.b4=	Ed. Lasker	Alekhine	Scheveningen	1913	Ed. Lasker – Alekhine, Scheveningen 1913	40	40
18	priyome	public-education	r2qk1nr/ppp2ppp/2npb3/2bNp3/2B1P3/3P1N2/PPP2PPP/R1BQK2R b KQkq - 0 1	black	Na5 b4 Bxd5	c6a5 b2b4 e6d5	6...Na5! Picking up the bishop – the most ambitious and best move. Note that 7.b4? Bxd5! wins a pawn or destroys White’s structure.	Mieses	Alekhine	Mannheim	1914	Mieses – Alekhine, Mannheim 1914	41	41
19	priyome	public-education	r2qk2r/ppp2ppp/2np1n2/2b1p3/2B1PPb1/2NP1N2/PPP3PP/R1BQK2R w KQkq - 0 1	white	Na4	c3a4	7.Na4!² Hunting down the bishop and thus preparing to castle.	Alekhine	Teichmann	Berlin	1921	Alekhine – Teichmann, Berlin 1921	41	41
20	priyome	public-education	r1bqkb1r/5ppp/ppn1p1n1/3p4/3P4/2N1BN2/PP2PPPP/R2QKB1R w KQkq - 0 1	white	h4 Bd6 h5 h6 Bg5 O-O Bf6	h2h4 f8d6 h4h5 h7h6 e3g5 e8g8 g5f6	9.h4! A standard move against the knight on g6. 9...Bd6 After 9...h5 White clearly has more use for the g5-square than Black has for the g4-square. 9...h6 is the best defence. 10.h5 Nge7 11.h6 g6 12.Bg5 0-0 13.Bf6 Black was not mated on g7, but surviving on the dark squares meant giving up an exchange and eventually losing the game.	Alekhine	Rubinstein	The Hague	1921	Alekhine – Rubinstein, The Hague 1921	42	42
